"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"MMP","Magellan Midstream Partners L.P.","68.11","15530752509.16","n/a","n/a","Energy","Natural Gas Distribution","http://www.nasdaq.com/symbol/mmp",
"TUSK","Mammoth Energy Services, Inc.","17.26","768108368.98","n/a","2016","Energy","Oilfield Services/Equipment","http://www.nasdaq.com/symbol/tusk",
"MRO","Marathon Oil Corporation","13.93","11838200365.95","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/mro",
"MPC","Marathon Petroleum Corporation","57.49","29104535446.22","n/a","n/a","Energy","Integrated oil Companies","http://www.nasdaq.com/symbol/mpc",
"MARPS","Marine Petroleum Trust","3.8499","7699800","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/marps",
"MMLP","Martin Midstream Partners L.P.","16.55","636382453.6","n/a","2002","Energy","Oil Refining/Marketing","http://www.nasdaq.com/symbol/mmlp",
"MTDR","Matador Resources Company","25.79","2590337155.05","n/a","2012","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/mtdr",
"MTR","Mesa Royalty Trust","15.5178","28918816.902","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/mtr",
"MXC","Mexco Energy Corporation","4.3201","8801192.8466","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/mxc",
"MGEE","MGE Energy Inc.","67.55","2341848393.5","n/a","n/a","Energy","Electric Utilities: Central","http://www.nasdaq.com/symbol/mgee",
"MCEP","Mid-Con Energy Partners, LP","1.02","30693292.26","n/a","2011","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/mcep",
"MPO","MIDSTATES PETROLEUM COMPANY, INC.","14.75","369708882.75","n/a","2016","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/mpo",
"MPLX","MPLX LP","34.1","15276245431.7","n/a","2012","Energy","Natural Gas Distribution","http://www.nasdaq.com/symbol/mplx",
"MUR","Murphy Oil Corporation","25.73","4440300022.29","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/mur",
"MVO","MV Oil Trust","5.23","60145000","n/a","2007","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/mvo",
"NBR","Nabors Industries Ltd.","6.7","1915461184.3","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/nbr",
"NOV","National Oilwell Varco, Inc.","34.09","12955513078.62","n/a","n/a","Energy","Metal Fabrications","http://www.nasdaq.com/symbol/nov",
"NGS","Natural Gas Services Group, Inc.","28.1","363539900.3","n/a","2002","Energy","Oilfield Services/Equipment","http://www.nasdaq.com/symbol/ngs",
"NRP","Natural Resource Partners LP","26.5","324148159","n/a","2002","Energy","Coal Mining","http://www.nasdaq.com/symbol/nrp",
"NCSM","NCS Multistage Holdings, Inc.","20.57","895946467.46","n/a","2017","Energy","Oilfield Services/Equipment","http://www.nasdaq.com/symbol/ncsm",
"GBR","New Concept Energy, Inc","1.275","2482340.85","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/gbr",
"NFX","Newfield Exploration Company","29.78","5935726103.58","n/a","1993","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/nfx",
"NR","Newpark Resources, Inc.","9.45","808997102.55","n/a","n/a","Energy","Metal Fabrications","http://www.nasdaq.com/symbol/nr",
"NGL","NGL ENERGY PARTNERS LP","11.35","1378242338.05","n/a","2011","Energy","Oil Refining/Marketing","http://www.nasdaq.com/symbol/ngl",
"NE","Noble Corporation","3.78","925733434.5","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/ne",
"NBL","Noble Energy Inc.","27.76","13506490338.16","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/nbl",
"NBLX","Noble Midstream Partners LP","51.5","1850661255","n/a","2016","Energy","Natural Gas Distribution","http://www.nasdaq.com/symbol/nblx",
"NOA","North American Energy Partners, Inc.","4","113405800","n/a","2006","Energy","Oilfield Services/Equipment","http://www.nasdaq.com/symbol/noa",
"NRT","North European Oil Royality Trust","6.5109","59839012.431","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/nrt",
"NOG","Northern Oil and Gas, Inc.","0.706","45058351.768","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/nog",
"DNOW","NOW Inc.","12.67","1364829301.78","n/a","2014","Energy","Metal Fabrications","http://www.nasdaq.com/symbol/dnow",
"NS","Nustar Energy L.P.","34.77","3234689121.72","n/a","n/a","Energy","Natural Gas Distribution","http://www.nasdaq.com/symbol/ns",
"NSH","Nustar GP Holdings, LLC","17.95","770983894.55","n/a","n/a","Energy","Natural Gas Distribution","http://www.nasdaq.com/symbol/nsh",
"NSS","NuStar Logistics, L.P.","25.09","0","n/a","n/a","Energy","Natural Gas Distribution","http://www.nasdaq.com/symbol/nss",
"NES","Nuverra Environmental Solutions, Inc.","11","1789152530","n/a","2017","Energy","Oilfield Services/Equipment","http://www.nasdaq.com/symbol/nes",
"OMP","Oasis Midstream Partners LP","16.7","459250000","n/a","2017","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/omp",
"OAS","Oasis Petroleum Inc.","8.71","2067888491.11","n/a","2010","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/oas",
"OBE","Obsidian Energy Ltd.","1.02","514415491.26","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/obe",
"OXY","Occidental Petroleum Corporation","65.47","50056599744.01","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/oxy",
"ORIG","Ocean Rig UDW Inc.","26.2","2375307143.6","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/orig",
"OII","Oceaneering International, Inc.","24.81","2438069346.63","n/a","n/a","Energy","Oilfield Services/Equipment","http://www.nasdaq.com/symbol/oii",
"OIS","Oil States International, Inc.","23.2","1185527006.4","n/a","2001","Energy","Metal Fabrications","http://www.nasdaq.com/symbol/ois",
"ROYT","Pacific Coast Oil Trust","1.51","58260568.58","n/a","2012","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/royt",
"PHX","Panhandle Royalty Company","23.6","393435977.6","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/phx",
"PARR","Par Pacific Holdings, Inc.","20.61","943994945.43","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/parr",
"PKD","Parker Drilling Company","0.982","135766583.814","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/pkd",
"PE","Parsley Energy, Inc.","25.87","8133474966.5","n/a","2014","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/pe",
"PTEN","Patterson-UTI Energy, Inc.","18.92","4208153346.76","n/a","1993","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/pten",
"PBF","PBF Energy Inc.","27.73","3042417858.42","n/a","2012","Energy","Integrated oil Companies","http://www.nasdaq.com/symbol/pbf",
"PBFX","PBF Logistics LP","19.8","829477143","n/a","2014","Energy","Natural Gas Distribution","http://www.nasdaq.com/symbol/pbfx",
"PDCE","PDC Energy, Inc.","47.11","3102920925.51","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/pdce",
"BTU","Peabody Energy Corporation","29.96","3002702081.96","n/a","2017","Energy","Coal Mining","http://www.nasdaq.com/symbol/btu",
"PED","Pedevco Corp.","0.42","2555586.18","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/ped",
"PBA","Pembina Pipeline Corp.","32.86","16510466746.5","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/pba",
"PGH","Pengrowth Energy Corporation","1.01","557768565.04","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/pgh",
"PVAC","Penn Virginia Corporation","40.65","609425531.7","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/pvac",
"PBT","Permian Basin Royalty Trust","9.14","426004395.44","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/pbt",
"PZE","Petrobras Argentina S.A.","12.9","2604815497.8","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/pze",
"PTR","PetroChina Company Limited","64.23","117554374040.94","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/ptr",
"PBR","Petroleo Brasileiro S.A.- Petrobras","10.35","67505271612.75","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/pbr",
"PQ","Petroquest Energy Inc","1.68","35713077.12","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/pq",
"PSX","Phillips 66","90.8","46445179005.6","n/a","n/a","Energy","Integrated oil Companies","http://www.nasdaq.com/symbol/psx",
"PSXP","Phillips 66 Partners LP","50.96","6192802856.24","n/a","2013","Energy","Natural Gas Distribution","http://www.nasdaq.com/symbol/psxp",
"PES","Pioneer Energy Services Corp.","1.95","151552090.95","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/pes",
"PXD","Pioneer Natural Resources Company","144.75","24621622533.75","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/pxd",
"PAA","Plains All American Pipeline, L.P.","20.39","14776566426.65","n/a","1998","Energy","Natural Gas Distribution","http://www.nasdaq.com/symbol/paa",
"PAGP","Plains Group Holdings, L.P.","20.75","3184562633.5","n/a","2013","Energy","Natural Gas Distribution","http://www.nasdaq.com/symbol/pagp",
"PLUG","Plug Power, Inc.","2.7","614317108.5","n/a","1999","Energy","Industrial Machinery/Components","http://www.nasdaq.com/symbol/plug",
"PDS","Precision Drilling Corporation","2.44","715502813.52","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/pds",
"PNRG","PrimeEnergy Corporation","50","109470250","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/pnrg",
"PFIE","Profire Energy, Inc.","1.86","90309037.56","n/a","n/a","Energy","Metal Fabrications","http://www.nasdaq.com/symbol/pfie",
"PUMP","ProPetro Holding Corp.","14.62","1214042665.48","n/a","2017","Energy","Oilfield Services/Equipment","http://www.nasdaq.com/symbol/pump",
"QEP","QEP Resources, Inc.","8.31","1998555000","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/qep",
"METC","Ramaco Resources, Inc.","6.31","249303752.41","n/a","2017","Energy","Coal Mining","http://www.nasdaq.com/symbol/metc",
"RRC","Range Resources Corporation","18.86","4679774253.86","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/rrc",
"RNGR","Ranger Energy Services, Inc.","13.16","201076009.12","n/a","2017","Energy","Oilfield Services/Equipment","http://www.nasdaq.com/symbol/rngr",
"RCON","Recon Technology, Ltd.","1.76","17429128.64","n/a","2009","Energy","Oilfield Services/Equipment","http://www.nasdaq.com/symbol/rcon",
"REN           ","Resolute Energy Corporation","30","674369880","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/ren",
"REXX","Rex Energy Corporation","1.92","19109493.12","n/a","2007","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/rexx",
"RICE","Rice Energy Inc.","28.12","6011988540.12","n/a","2014","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/rice",
"REI","Ring Energy, Inc.","12.42","672492090.42","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/rei",
"ROSE","Rosehill Resources Inc.","9.3688","335121385.7656","n/a","2016","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/rose",
"ROSEU","Rosehill Resources Inc.","11.25","0","n/a","2016","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/roseu",
"ROSEW","Rosehill Resources Inc.","1.2","0","n/a","2016","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/rosew",
"RDC","Rowan Companies plc","13.1","1653756654.6","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/rdc",
"RES","RPC, Inc.","22.77","4949116356.69","n/a","n/a","Energy","Oilfield Services/Equipment","http://www.nasdaq.com/symbol/res",
"RSPP","RSP Permian, Inc.","33.55","5321207009.8","n/a","2014","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/rspp",
"SBR","Sabine Royalty Trust","40.85","595566243.25","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/sbr",
"SAEX","SAExploration Holdings, Inc.","1.89","17812369.26","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/saex",
"SSN","Samson Oil & Gas Limited","0.335","5499025.67","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/ssn",
"SJT","San Juan Basin Royalty Trust","7.76","361684256.96","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/sjt",
"SN","Sanchez Energy Corporation","4.02","334247261.7","n/a","2011","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/sn",
"SNMP","Sanchez Midstream Partners LP","11.9","173765561.2","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/snmp",
"SD","SandRidge Energy, Inc.","18.93","678218701.74","n/a","2016","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/sd",
"SDT","SandRidge Mississippian Trust I","1.32","36960000","n/a","2011","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/sdt",
"SDR","SandRidge Mississippian Trust II","1.31","65139750","n/a","2012","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/sdr",
"PER","SandRidge Permian Trust","2.775","145687500","n/a","2011","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/per",
"SSL","Sasol Ltd.","28.86","18882386831.88","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/ssl",
"SLB","Schlumberger N.V.","63.15","87432701335.5","n/a","n/a","Energy","Oilfield Services/Equipment","http://www.nasdaq.com/symbol/slb",
"SDRL","Seadrill Limited","0.2949","148760618.172","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/sdrl",
"SDLP","Seadrill Partners LLC","3.66","336067056","n/a","2012","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/sdlp",
"WTTR","Select Energy Services, Inc.","15.9","1095999561","n/a","2017","Energy","Oilfield Services/Equipment","http://www.nasdaq.com/symbol/wttr",
"SEMG","Semgroup Corporation","26.6","2092506955","n/a","n/a","Energy","Oilfield Services/Equipment","http://www.nasdaq.com/symbol/semg",
"SHLX","Shell Midstream Partners, L.P.","27.08","4804326952.52","n/a","2014","Energy","Natural Gas Distribution","http://www.nasdaq.com/symbol/shlx",
"SBOW","SilverBow Resorces, Inc.","22.51","259462235.32","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/sbow",
"SM","SM Energy Company","18.41","2054986186.47","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/sm",
"SOI","Solaris Oilfield Infrastructure, Inc.","15.3","662042459.7","n/a","2017","Energy","Metal Fabrications","http://www.nasdaq.com/symbol/soi",
"SWN","Southwestern Energy Company","5.38","2739327342.38","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/swn",
"SWNC","Southwestern Energy Company","12.5","0","n/a","2015","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/swnc",
"SRLP","Sprague Resources LP","25.4","572605585.8","n/a","2013","Energy","Oil Refining/Marketing","http://www.nasdaq.com/symbol/srlp",
"SRCI","SRC Energy Inc.","9.27","1862093664.81","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/srci",
"STO","Statoil ASA","20.43","67307031893.61","n/a","n/a","Energy","Integrated oil Companies","http://www.nasdaq.com/symbol/sto",
"SGY","Stone Energy Corporation","26.94","538776077.28","n/a","1993","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/sgy",
"SU","Suncor Energy  Inc.","33.33","55220721942.21","n/a","n/a","Energy","Integrated oil Companies","http://www.nasdaq.com/symbol/su",
"SNDE","Sundance Energy Australia Limited","4.2","3068276.4","730542","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/snde",
"SUN","Sunoco LP","30.43","3526218175.52","n/a","2012","Energy","Oil Refining/Marketing","http://www.nasdaq.com/symbol/sun",
"SDPI","Superior Drilling Products, Inc.","0.85","20567575.8","n/a","2014","Energy","Metal Fabrications","http://www.nasdaq.com/symbol/sdpi",
"SPN","Superior Energy Services, Inc.","8.85","1354772425.5","n/a","n/a","Energy","Oilfield Services/Equipment","http://www.nasdaq.com/symbol/spn",
"FTI","TechnipFMC plc","24.96","11661853856.64","n/a","n/a","Energy","Metal Fabrications","http://www.nasdaq.com/symbol/fti",
"TELL","Tellurian Inc.","9.79","2064313868.65","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/tell",
"TGC","Tengasco, Inc.","0.63","6687149.49","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/tgc",
"TESO","Tesco Corporation","4.5","210397302","n/a","n/a","Energy","Metal Fabrications","http://www.nasdaq.com/symbol/teso",
"TTI","Tetra Technologies, Inc.","2.63","304811313.94","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/tti",
"TPL","Texas Pacific Land Trust","410.24","3223893192.96","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/tpl",
"THR","Thermon Group Holdings, Inc.","21","680454285","n/a","2011","Energy","Industrial Machinery/Components","http://www.nasdaq.com/symbol/thr",
"TRCH","Torchlight Energy Resources, Inc.","1.14","68641605.9","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/trch",
"TOT","Total S.A.","54.16","136826591081.28","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/tot",
"TPIC","TPI Composites, Inc.","23.44","794289902.72","n/a","2016","Energy","Industrial Machinery/Components","http://www.nasdaq.com/symbol/tpic",
"TAT","Transatlantic Petroleum Ltd","0.79","37704939.88","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/tat",
"TGA","Transglobe Energy Corp","1.58","114084483.02","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/tga",
"TLP","TransMontaigne Partners L.P.","41.55","671500436.1","n/a","2005","Energy","Natural Gas Distribution","http://www.nasdaq.com/symbol/tlp",
"RIG","Transocean Ltd.","9.95","3892556803.05","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/rig",
"TREC","Trecora Resources","12.3","298933222.2","n/a","n/a","Energy","Integrated oil Companies","http://www.nasdaq.com/symbol/trec",
"USEG","U.S. Energy Corp.","1","6134506","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/useg",
"UPL","Ultra Petroleum Corp.","8.04","1578374063.28","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/upl",
"UNT","Unit Corporation","18.34","969940097.28","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/unt",
"EGY","Vaalco Energy Inc","0.739","43466524.909","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/egy",
"VLO","Valero Energy Corporation","77.54","34246624078.72","n/a","n/a","Energy","Integrated oil Companies","http://www.nasdaq.com/symbol/vlo",
"VLP","Valero Energy Partners LP","41.71","2843573285.47","n/a","2013","Energy","Natural Gas Distribution","http://www.nasdaq.com/symbol/vlp",
"VET","Vermilion Energy Inc.","33.8","4103001367.4","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/vet",
"VTNR","Vertex Energy, Inc","0.83","27103762.05","n/a","n/a","Energy","Integrated oil Companies","http://www.nasdaq.com/symbol/vtnr",
"VNOM","Viper Energy Partners LP","18.63","2121280451.55","n/a","2014","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/vnom",
"VOC","VOC Energy Trust","3.5992","61186400","n/a","2011","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/voc",
"WTI","W&T Offshore, Inc.","3.14","432760276.16","n/a","2005","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/wti",
"HCC","Warrior Met Coal, Inc.","27.42","1465456690.2","n/a","2017","Energy","Coal Mining","http://www.nasdaq.com/symbol/hcc",
"WFT","Weatherford International plc","3.54","3501184073.46","n/a","n/a","Energy","Metal Fabrications","http://www.nasdaq.com/symbol/wft",
"WNRL","Western Refining Logistics, LP","24.05","1467609835.9","n/a","2013","Energy","Natural Gas Distribution","http://www.nasdaq.com/symbol/wnrl",
"WLB","Westmoreland Coal Company","2.26","42357243.18","n/a","n/a","Energy","Coal Mining","http://www.nasdaq.com/symbol/wlb",
"WMLP","Westmoreland Resource Partners, LP","3.0699","3944330.316","n/a","2015","Energy","Coal Mining","http://www.nasdaq.com/symbol/wmlp",
"WPRT","Westport Fuel Systems Inc","3.55","462565678.05","n/a","n/a","Energy","Industrial Machinery/Components","http://www.nasdaq.com/symbol/wprt",
"WLL","Whiting Petroleum Corporation","5.1","1877337009.6","n/a","2003","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/wll",
"WRD","WildHorse Resource Development Corporation","12.78","1292509134","n/a","2016","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/wrd",
"WG","Willbros Group, Inc.","3.17","200667609.45","n/a","1996","Energy","Oilfield Services/Equipment","http://www.nasdaq.com/symbol/wg",
"WWD","Woodward, Inc.","81.36","4988714996.16","n/a","n/a","Energy","Industrial Machinery/Components","http://www.nasdaq.com/symbol/wwd",
"INT","World Fuel Services Corporation","35.9","2458831315.7","n/a","n/a","Energy","Oil Refining/Marketing","http://www.nasdaq.com/symbol/int",
"WPX","WPX Energy, Inc.","10.62","4225211890.74","n/a","2011","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/wpx",
"WPXP","WPX Energy, Inc.","49.58","0","n/a","2015","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/wpxp",
"YPF","YPF Sociedad Anonima","22.96","9030461727.28","n/a","1993","Energy","Integrated oil Companies","http://www.nasdaq.com/symbol/ypf",
"YUMA","Yuma Energy, Inc.","0.955","21162425.64","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/yuma",
"ZN","Zion Oil & Gas Inc","2.87","148989029.98","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/zn",
"ZNWAA","Zion Oil & Gas Inc","n/a","0","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/znwaa",
